Bedrijfsnaam;organisatie uuid;business entity;Adres;E-mail algemeen;E-mail facturatie;Monteur hulplijn;Primaire Account manager;Soort organisatie;Telefoon algemeen
LaderThuis.nl;65057c9f6fef36994cd8276d;LaderThuis;Melkrijder 21, Nijkerk, Gelderland, 3861 SG, Nederland;info@laderthuis.nl;;;Corné den Hartog;Opdrachtgever, Lead generator;+31 6 12345677
ChargeCars;6505a0ec6f477e53910481b4;ChargeCars;Melkrijder 21, Nijkerk, Gelderland, 3861 SG, Nederland;info@chargecars.nl;;+31 85 130 6433;Lorenzo Boers;Opdrachtgever;+31 85 130 6433
RatioShop.nl;6505a104e41d8bc97e37deb5;RatioShop;Melkrijder 21, Nijkerk, Gelderland, 3861 SG, Nederland;info@ratioshop.nl;;+31 85 130 6433;Corné den Hartog;Opdrachtgever, Lead generator;+31 85 130 6433
MeterkastThuis.nl;6505a10ab2a9f7cfaefcc4c4;MeterkastThuis;Melkrijder 21, Nijkerk, Gelderland, 3861 SG, Nederland;info@meterkastthuis.nl;;+31 30 760 8844;Faber  Snaak;Opdrachtgever, Lead generator;+31 30 760 8844
50five;6507f572e7d1fc2fe0f51cde;ChargeCars;;info@50five.com;;+31 24 808 0345;Lorenzo Boers;Opdrachtgever, Contractor;
EV-company;6507f627b781347f89b4073b;ChargeCars;;planning@evcompany.nl;;+31 20 765 7003;Job van de Goede;Opdrachtgever, Contractor;+31 20 765 7000
GS engineering;6507f631c7fab5bf908b1cdf;ChargeCars;;team@gsengineeringservices.nl;facturatie@gsengineeringservices.nl;+31 6 47551426;Job van de Goede;Opdrachtgever, Contractor;+31 6 45493822
Awesems;6507f6355bb3a05f5b68c5cf;ChargeCars;;info@awesems.com;invoice@awesems.odoo.com;+31 6 19081964;Job van de Goede;Opdrachtgever, Contractor;+31 6 53609813
Eneco;6507f63b0331e72674ba5edb;ChargeCars;;Support@eneco-emobility.com;; +31882022802;Faber  Snaak;Opdrachtgever, Energy;0882022802
Essent;6507f63f8a99053c5b098504;ChargeCars;4 Willemsplein, 's-Hertogenbosch, Noord-Brabant, 5211 BN, Nederland;elektrischladen@essent.nl;;073 8501936;Faber  Snaak;Opdrachtgever, Energy;+31 73 850 1777
Vandebron;6507f64418a237dc91c8ba50;ChargeCars;;elektrischrijden@vandebron.nl;facturen@vandebron.nl;+31 6 36536285;Faber  Snaak;Opdrachtgever, Energy;+31 20 323 0801
Alva Charging;6507f64ae09084677d389062;ChargeCars;;support@alva-charging.nl;Facturen@alva-charging.nl;+31 85 016 3611;Faber  Snaak;Opdrachtgever, Contractor;+31 310658989729
Lanova;6507f69c10c94e2ad2c0eb51;ChargeCars;;sales@lanovalaadpalen.nl;invoices@lanovalaadpalen.nl;+31 88 011 0301;Job van de Goede;Opdrachtgever, Leverancier;+31 88 011 0301
Abel & Co;6507f6b70331e72674ba5edd;ChargeCars;;emobility@abelenco.nl;emobility@abelenco.nl;+31 13 581 0859;Job van de Goede;Opdrachtgever, Contractor;+31 318000232334
Tibber;6507f6d0140ee90034238db0;ChargeCars;Looiersgracht 43, Amsterdam, Noord-Holland, 1016 VR, Netherlands;hello@tibber.com;;;Lars Straatman;Opdrachtgever, Energy, Lead generator; +31 20 809 8888
Allego;6507f77e7fb181f68058c28b;ChargeCars;;service@allego.eu;accountspayable@allego.eu;+31 6 15076605;Job van de Goede;Opdrachtgever, Contractor;+31 6 15076605
Baas B.V.;6507f78af0bdab792e37d335;ChargeCars;;thuisladen@ev-ready.info;thuisladen@ev-ready.info;;Corné den Hartog;Opdrachtgever, Contractor;088 222 70 00
NXT Mobility;6507f79141848f34fe3cf745;ChargeCars;;sales@nxtmobility.nl;efactuurcs@nxtmobility.nl;088 472 04 72;Corné den Hartog;Opdrachtgever, Contractor;+31 6 50459035
Reith Power;6507f7979393fd4899a132d7;ChargeCars;;info@reithpower.nl;;;Lorenzo Boers;Opdrachtgever, Contractor;088 603 3400
